"Ad_ID","Campaign_Name","Clicks","Impressions","Cost","Leads","Conversions","Conversion_Rate","Sale_Amount","Ad_Date","Location","Device","Keyword","Format_Date"
"A1427","Data Analytics Course",118.0,3824.0,184.8,16.0,5.0,"0.042",1818.0,"2024-11-19","Hyderabad","DESKTOP","learn data analytics","2024-11-19"
"A1428","Data Analytics Course",148.0,5000.0,224.41,11.0,3.0,"0.02",1491.0,"2024/11/30","Hyderabad","MOBILE","online data analytic","2024-11-30"
"A1429","Data Analytics Course",88.0,3804.0,249.2,10.0,8.0,"0.038",1044.0,"2024/11/09","Hyderabad","Tablet","data anaytics training","2024-11-09"
"A1430","Data Analytics Course",142.0,3791.0,207.86,23.0,4.0,"0.028",1073.0,"2024-11-20","Hyderabad","tablet","data analitics online","2024-11-20"
"A1431","Data Analytics Course",127.0,5198.0,242.56,26.0,6.0,"0.047",1872.0,"2024-11-16","Hyderabad","tablet","learn data analytics","2024-11-16"
"A1432","Data Analytics Course",117.0,5329.0,212.49,14.0,5.0,"0.043",1888.0,"2024/11/03","Hyderabad","MOBILE","data analytics course","2024-11-03"
"A1433","Data Analytics Course",125.0,5435.0,202.65,25.0,5.0,"0.04",1767.0,"2024-11-23","Hyderabad","Desktop","online data analytic","2024-11-23"
"A1434","Data Analytics Course",92.0,4977.0,209.78,26.0,3.0,"0.033",1834.0,"2024/11/12","Hyderabad","tablet","learn data analytics","2024-11-12"
"A1435","Data Analytics Course",112.0,3850.0,233.52,14.0,8.0,"0.033",1760.0,"2024-11-22","Hyderabad","desktop","data analytics course","2024-11-22"
"A1436","Data Analytics Course",144.0,5976.0,197.65,13.0,9.0,"0.062",1743.0,"2024/11/22","Hyderabad","MOBILE","data analytics course","2024-11-22"
"A1437","Data Analytics Course",103.0,4693.0,218.67,14.0,10.0,"0.097",1390.0,"2024/11/09","Hyderabad","mobile","learn data analytics","2024-11-09"
"A1438","Data Analytics Course",117.0,4367.0,233.27,24.0,3.0,"0.026",1238.0,"2024-11-24","Hyderabad","tablet","learn data analytics","2024-11-24"
"A1439","Data Analytics Course",100.0,5481.0,180.72,14.0,7.0,"0.07",1185.0,"2024-11-02","Hyderabad","DESKTOP","analytics for data","2024-11-02"
"A1440","Data Analytics Course",179.0,4109.0,191.84,19.0,4.0,"0.022",1961.0,"02-11-2024","Hyderabad","tablet","online data analytic","2024-11-02"
"A1441","Data Analytics Course",180.0,3887.0,186.26,18.0,6.0,"0.033",1048.0,"05-11-2024","Hyderabad","Desktop","data analytics course","2024-11-05"
"A1442","Data Analytics Course",146.0,4633.0,186.07,26.0,3.0,"0.021",1053.0,"2024/11/25","Hyderabad","desktop","data anaytics training","2024-11-25"
"A1443","Data Analytics Course",124.0,5353.0,239.69,13.0,4.0,"0.032",1493.0,"2024-11-19","Hyderabad","DESKTOP","learn data analytics","2024-11-19"
"A1444","Data Analytics Course",169.0,5380.0,199.66,27.0,6.0,"0.036",1059.0,"2024/11/03","Hyderabad","DESKTOP","data anaytics training","2024-11-03"
"A1445","Data Analytics Course",91.0,5104.0,211.85,29.0,9.0,"0.099",1309.0,"2024-11-16","Hyderabad","Tablet","data analytics course","2024-11-16"
"A1447","Data Analytics Course",115.0,4345.0,229.71,15.0,4.0,"0.035",1467.0,"2024-11-26","Hyderabad","mobile","data analytics course","2024-11-26"
"A1448","Data Analytics Course",123.0,3527.0,239.31,21.0,3.0,"0.024",1536.0,"04-11-2024","Hyderabad","tablet","analytics for data","2024-11-04"
"A1449","Data Analytics Course",101.0,3330.0,209.8,19.0,10.0,"0.099",1296.0,"2024-11-14","Hyderabad","Mobile","data anaytics training","2024-11-14"
"A1450","Data Analytics Course",141.0,3913.0,245.32,21.0,3.0,"0.056",1904.0,"2024/11/15","Hyderabad","Desktop","analytics for data","2024-11-15"
"A1451","Data Analytics Course",160.0,4597.0,211.88,21.0,4.0,"0.025",0.0,"2024/11/21","Hyderabad","Desktop","data anaytics training","2024-11-21"
"A1452","Data Analytics Course",105.0,3008.0,206.91,21.0,4.0,"0.038",1009.0,"2024-11-10","Hyderabad","Desktop","online data analytic","2024-11-10"
"A1453","Data Analytics Course",178.0,5318.0,207.05,18.0,4.0,"0.031",1421.0,"2024-11-20","Hyderabad","desktop","data analitics online","2024-11-20"
"A1454","Data Analytics Course",189.0,5244.0,242.18,29.0,3.0,"0.016",1080.0,"2024-11-07","Hyderabad","Mobile","analytics for data","2024-11-07"
"A1455","Data Analytics Course",114.0,4804.0,249.33,14.0,6.0,"0.053",1879.0,"05-11-2024","Hyderabad","mobile","data analytics course","2024-11-05"
"A1456","Data Analytics Course",160.0,5920.0,201.3,30.0,7.0,"0.047",1080.0,"2024/11/18","Hyderabad","Tablet","data analytics course","2024-11-18"
"A1457","Data Analytics Course",101.0,5280.0,234.72,18.0,9.0,"0.089",1046.0,"27-11-2024","Hyderabad","Tablet","data analytics course","2024-11-27"
"A1458","Data Analytics Course",146.0,3887.0,206.59,26.0,9.0,"0.062",1042.0,"07-11-2024","Hyderabad","Desktop","online data analytic","2024-11-07"
"A1460","Data Analytics Course",163.0,4125.0,246.09,27.0,5.0,"0.031",1910.0,"2024/11/27","Hyderabad","mobile","learn data analytics","2024-11-27"
"A1461","Data Analytics Course",193.0,5571.0,213.5,19.0,8.0,"0.059",1754.0,"28-11-2024","Hyderabad","MOBILE","analytics for data","2024-11-28"
"A1462","Data Analytics Course",179.0,4309.0,237.62,21.0,7.0,"0.039",1719.0,"2024/11/14","Hyderabad","mobile","data analytics course","2024-11-14"
"A1463","Data Analytics Course",86.0,5538.0,223.13,22.0,7.0,"0.037",1544.0,"2024/11/30","Hyderabad","TABLET","data anaytics training","2024-11-30"
"A1464","Data Analytics Course",92.0,3162.0,202.76,25.0,5.0,"0.054",1577.0,"01-11-2024","Hyderabad","mobile","data anaytics training","2024-11-01"
"A1466","Data Analytics Course",147.0,3112.0,206.74,12.0,8.0,"0.054",1815.0,"18-11-2024","Hyderabad","Mobile","data analytics course","2024-11-18"
"A1467","Data Analytics Course",143.0,4492.0,188.98,13.0,3.0,"0.056",0.0,"2024/11/09","Hyderabad","mobile","online data analytic","2024-11-09"
"A1469","Data Analytics Course",164.0,3872.0,210.53,12.0,5.0,"0.03",1532.0,"2024/11/12","Hyderabad","tablet","data analitics online","2024-11-12"
"A1470","Data Analytics Course",199.0,4255.0,212.84,14.0,6.0,"0.054",1125.0,"2024/11/22","Hyderabad","Desktop","learn data analytics","2024-11-22"
"A1472","Data Analytics Course",150.0,5619.0,191.89,23.0,6.0,"0.04",1735.0,"2024/11/19","Hyderabad","desktop","data anaytics training","2024-11-19"
"A1473","Data Analytics Course",171.0,5157.0,183.26,24.0,9.0,"0.046",1430.0,"09-11-2024","Hyderabad","desktop","data analitics online","2024-11-09"
"A1474","Data Analytics Course",139.0,4871.0,211.4,25.0,9.0,"0.065",1247.0,"2024-11-29","Hyderabad","Mobile","data anaytics training","2024-11-29"
"A1475","Data Analytics Course",117.0,5863.0,224.69,24.0,10.0,"0.054",1580.0,"16-11-2024","Hyderabad","MOBILE","data analitics online","2024-11-16"
"A1476","Data Analytics Course",196.0,3205.0,188.82,24.0,8.0,"0.041",1837.0,"24-11-2024","Hyderabad","desktop","data analytics course","2024-11-24"
"A1477","Data Analytics Course",184.0,5463.0,224.58,30.0,6.0,"0.033",1565.0,"2024/11/26","Hyderabad","Tablet","data anaytics training","2024-11-26"
"A1478","Data Analytics Course",103.0,5667.0,232.48,26.0,8.0,"0.078",1888.0,"2024/11/16","Hyderabad","tablet","learn data analytics","2024-11-16"
"A1479","Data Analytics Course",120.0,4666.0,180.72,30.0,3.0,"0.053",1627.0,"2024/11/24","Hyderabad","Mobile","analytics for data","2024-11-24"
"A1480","Data Analytics Course",148.0,3632.0,214.46,28.0,10.0,"0.068",1589.0,"2024/11/18","Hyderabad","MOBILE","data anaytics training","2024-11-18"
"A1481","Data Analytics Course",80.0,3834.0,181.22,15.0,3.0,"0.037",1270.0,"22-11-2024","Hyderabad","TABLET","learn data analytics","2024-11-22"
"A1482","Data Analytics Course",168.0,3934.0,246.09,24.0,6.0,"0.041",1592.0,"24-11-2024","Hyderabad","Tablet","data analitics online","2024-11-24"
"A1483","Data Analytics Course",136.0,5724.0,218.37,25.0,10.0,"0.074",1268.0,"2024-11-18","Hyderabad","desktop","data analytics course","2024-11-18"
"A1484","Data Analytics Course",86.0,4763.0,243.78,11.0,8.0,"0.093",1770.0,"13-11-2024","Hyderabad","MOBILE","learn data analytics","2024-11-13"
"A1485","Data Analytics Course",175.0,3095.0,236.86,22.0,4.0,"0.023",1617.0,"2024/11/20","Hyderabad","MOBILE","analytics for data","2024-11-20"
"A1486","Data Analytics Course",173.0,5554.0,185.09,22.0,4.0,"0.023",1000.0,"2024-11-01","Hyderabad","Desktop","data analytics course","2024-11-01"
"A1487","Data Analytics Course",192.0,3407.0,223.29,29.0,9.0,"0.047",1538.0,"2024/11/25","Hyderabad","tablet","data anaytics training","2024-11-25"
"A1488","Data Analytics Course",190.0,4465.0,241.38,28.0,5.0,"0.026",1910.0,"2024/11/04","Hyderabad","desktop","analytics for data","2024-11-04"
"A1489","Data Analytics Course",161.0,3311.0,221.64,16.0,5.0,"0.031",1006.0,"02-11-2024","Hyderabad","tablet","online data analytic","2024-11-02"
"A1490","Data Analytics Course",197.0,3265.0,200.4,15.0,3.0,"0.015",1882.0,"01-11-2024","Hyderabad","MOBILE","learn data analytics","2024-11-01"
"A1491","Data Analytics Course",80.0,4969.0,210.7,25.0,3.0,"0.037",1146.0,"2024-11-05","Hyderabad","TABLET","analytics for data","2024-11-05"
"A1492","Data Analytics Course",145.0,5368.0,200.88,14.0,4.0,"0.028",1125.0,"2024/11/27","Hyderabad","Tablet","learn data analytics","2024-11-27"
"A1493","Data Analytics Course",90.0,5851.0,232.94,22.0,8.0,"0.089",1421.0,"2024-11-28","Hyderabad","Desktop","learn data analytics","2024-11-28"
"A1494","Data Analytics Course",109.0,4884.0,228.13,11.0,8.0,"0.073",1680.0,"2024/11/15","Hyderabad","Desktop","data anaytics training","2024-11-15"
"A1495","Data Analytics Course",130.0,5719.0,0.0,10.0,5.0,"0.03",1208.0,"2024/11/23","Hyderabad","Desktop","analytics for data","2024-11-23"
"A1496","Data Analytics Course",179.0,5828.0,247.84,15.0,4.0,"0.022",1127.0,"2024/11/14","Hyderabad","MOBILE","analytics for data","2024-11-14"
"A1497","Data Analytics Course",181.0,4935.0,239.29,15.0,5.0,"0.03",1497.0,"09-11-2024","Hyderabad","desktop","data anaytics training","2024-11-09"
"A1498","Data Analytics Course",188.0,4491.0,201.73,24.0,7.0,"0.037",1906.0,"2024-11-21","Hyderabad","mobile","online data analytic","2024-11-21"
"A1499","Data Analytics Course",139.0,3659.0,189.09,16.0,4.0,"0.029",1892.0,"2024/11/29","Hyderabad","desktop","data anaytics training","2024-11-29"
"A1500","Data Analytics Course",99.0,4809.0,210.6,24.0,8.0,"0.081",0.0,"13-11-2024","Hyderabad","MOBILE","data analytics course","2024-11-13"
"A1501","Data Analytics Course",95.0,5844.0,211.95,10.0,9.0,"0.095",1444.0,"2024/11/08","Hyderabad","TABLET","learn data analytics","2024-11-08"
"A1502","Data Analytics Course",131.0,5559.0,0.0,28.0,5.0,"0.035",1604.0,"2024/11/29","Hyderabad","Desktop","analytics for data","2024-11-29"
"A1503","Data Analytics Course",190.0,4630.0,217.6,27.0,4.0,"0.021",1900.0,"2024/11/23","Hyderabad","Tablet","data anaytics training","2024-11-23"
"A1504","Data Analytics Course",123.0,3340.0,225.16,23.0,8.0,"0.065",1563.0,"2024-11-26","Hyderabad","MOBILE","online data analytic","2024-11-26"
"A1505","Data Analytics Course",97.0,3330.0,182.98,15.0,3.0,"0.031",1102.0,"2024-11-14","Hyderabad","Tablet","data analitics online","2024-11-14"
"A1506","Data Analytics Course",164.0,3117.0,198.53,25.0,5.0,"0.03",1749.0,"2024-11-29","Hyderabad","MOBILE","analytics for data","2024-11-29"
"A1507","Data Analytics Course",134.0,3562.0,247.59,24.0,10.0,"0.075",1295.0,"01-11-2024","Hyderabad","TABLET","analytics for data","2024-11-01"
"A1508","Data Analytics Course",117.0,5144.0,221.76,23.0,3.0,"0.038",1338.0,"2024/11/11","Hyderabad","MOBILE","analytics for data","2024-11-11"
"A1509","Data Analytics Course",168.0,4375.0,0.0,19.0,8.0,"0.048",1267.0,"2024-11-06","Hyderabad","mobile","online data analytic","2024-11-06"
"A1510","Data Analytics Course",173.0,3328.0,224.17,15.0,10.0,"0.043",1904.0,"2024-11-28","Hyderabad","mobile","online data analytic","2024-11-28"
"A1511","Data Analytics Course",158.0,4336.0,238.29,26.0,9.0,"0.052",1245.0,"2024-11-30","Hyderabad","Tablet","online data analytic","2024-11-30"
"A1512","Data Analytics Course",135.0,5063.0,195.58,22.0,6.0,"0.044",0.0,"29-11-2024","Hyderabad","tablet","learn data analytics","2024-11-29"
"A1513","Data Analytics Course",182.0,5993.0,0.0,19.0,3.0,"0.016",1254.0,"19-11-2024","Hyderabad","DESKTOP","data anaytics training","2024-11-19"
"A1514","Data Analytics Course",83.0,3926.0,237.07,22.0,5.0,"0.06",1667.0,"2024-11-07","Hyderabad","Mobile","analytics for data","2024-11-07"
"A1515","Data Analytics Course",85.0,5570.0,221.73,14.0,7.0,"0.082",1292.0,"29-11-2024","Hyderabad","TABLET","data analitics online","2024-11-29"
"A1516","Data Analytics Course",98.0,5571.0,208.4,15.0,7.0,"0.071",1890.0,"14-11-2024","Hyderabad","DESKTOP","analytics for data","2024-11-14"
"A1517","Data Analytics Course",151.0,5700.0,182.27,13.0,3.0,"0.054",1255.0,"2024-11-23","Hyderabad","Mobile","data analytics course","2024-11-23"
"A1518","Data Analytics Course",122.0,4441.0,244.38,25.0,6.0,"0.049",0.0,"02-11-2024","Hyderabad","DESKTOP","analytics for data","2024-11-02"
"A1519","Data Analytics Course",84.0,4646.0,226.32,11.0,7.0,"0.051",1596.0,"2024-11-30","Hyderabad","tablet","analytics for data","2024-11-30"
"A1521","Data Analytics Course",148.0,4725.0,187.02,25.0,3.0,"0.02",1586.0,"2024/11/15","Hyderabad","MOBILE","learn data analytics","2024-11-15"
"A1522","Data Analytics Course",85.0,4230.0,233.73,18.0,8.0,"0.094",1998.0,"2024/11/08","Hyderabad","TABLET","data analytics course","2024-11-08"
"A1523","Data Analytics Course",105.0,3880.0,246.63,19.0,8.0,"0.051",1598.0,"2024/11/13","Hyderabad","mobile","data anaytics training","2024-11-13"
"A1524","Data Analytics Course",187.0,3842.0,214.35,28.0,5.0,"0.031",1596.0,"2024/11/13","Hyderabad","mobile","online data analytic","2024-11-13"
"A1525","Data Analytics Course",153.0,3143.0,244.73,12.0,10.0,"0.065",1365.0,"2024/11/15","Hyderabad","Mobile","online data analytic","2024-11-15"
"A1526","Data Analytics Course",143.0,5781.0,208.63,21.0,9.0,"0.05",1443.0,"2024/11/26","Hyderabad","MOBILE","data analitics online","2024-11-26"
"A1527","Data Analytics Course",183.0,3790.0,202.48,21.0,8.0,"0.037",1215.0,"26-11-2024","Hyderabad","Desktop","data anaytics training","2024-11-26"
"A1528","Data Analytics Course",172.0,4250.0,235.2,28.0,7.0,"0.041",1036.0,"06-11-2024","Hyderabad","mobile","learn data analytics","2024-11-06"
"A1529","Data Analytics Course",98.0,3800.0,240.45,16.0,3.0,"0.031",1700.0,"2024-11-01","Hyderabad","DESKTOP","data analytics course","2024-11-01"
"A1530","Data Analytics Course",87.0,4675.0,200.71,28.0,6.0,"0.069",1428.0,"2024/11/20","Hyderabad","MOBILE","analytics for data","2024-11-20"
"A1531","Data Analytics Course",84.0,5711.0,216.02,13.0,6.0,"0.071",1654.0,"2024-11-17","Hyderabad","DESKTOP","data anaytics training","2024-11-17"
"A1532","Data Analytics Course",151.0,3022.0,191.35,13.0,4.0,"0.026",1133.0,"2024/11/18","Hyderabad","mobile","learn data analytics","2024-11-18"
"A1533","Data Analytics Course",113.0,5407.0,203.23,15.0,9.0,"0.037",1745.0,"2024/11/16","Hyderabad","desktop","data anaytics training","2024-11-16"
"A1534","Data Analytics Course",89.0,5095.0,202.21,22.0,4.0,"0.056",1065.0,"2024-11-07","Hyderabad","TABLET","data analytics course","2024-11-07"
"A1535","Data Analytics Course",174.0,3587.0,217.67,10.0,7.0,"0.04",1226.0,"22-11-2024","Hyderabad","Mobile","data anaytics training","2024-11-22"
"A1536","Data Analytics Course",166.0,5524.0,205.53,25.0,7.0,"0.042",1241.0,"24-11-2024","Hyderabad","Mobile","analytics for data","2024-11-24"
"A1538","Data Analytics Course",97.0,3480.0,233.32,22.0,3.0,"0.031",1008.0,"2024/11/28","Hyderabad","desktop","data analitics online","2024-11-28"
"A1539","Data Analytics Course",89.0,4200.0,200.98,23.0,8.0,"0.09",1476.0,"23-11-2024","Hyderabad","mobile","data analytics course","2024-11-23"
"A1540","Data Analytics Course",130.0,5384.0,218.6,24.0,8.0,"0.062",1943.0,"2024-11-28","Hyderabad","MOBILE","learn data analytics","2024-11-28"
"A1541","Data Analytics Course",103.0,4766.0,245.34,11.0,8.0,"0.078",1488.0,"2024-11-08","Hyderabad","Desktop","analytics for data","2024-11-08"
"A1542","Data Analytics Course",138.0,3322.0,196.83,17.0,8.0,"0.058",0.0,"2024/11/01","Hyderabad","desktop","online data analytic","2024-11-01"
"A1543","Data Analytics Course",127.0,4625.0,207.62,17.0,3.0,"0.024",1811.0,"2024-11-17","Hyderabad","desktop","learn data analytics","2024-11-17"
"A1544","Data Analytics Course",170.0,4689.0,195.98,26.0,6.0,"0.035",1873.0,"2024-11-14","Hyderabad","DESKTOP","data analitics online","2024-11-14"
"A1545","Data Analytics Course",115.0,3764.0,197.47,20.0,5.0,"0.043",1952.0,"2024/11/27","Hyderabad","desktop","learn data analytics","2024-11-27"
"A1546","Data Analytics Course",132.0,3365.0,198.01,17.0,9.0,"0.068",1161.0,"2024/11/14","Hyderabad","DESKTOP","analytics for data","2024-11-14"
"A1547","Data Analytics Course",168.0,3392.0,230.77,15.0,9.0,"0.054",1504.0,"2024/11/11","Hyderabad","mobile","online data analytic","2024-11-11"
"A1548","Data Analytics Course",145.0,5978.0,223.3,30.0,10.0,"0.069",1859.0,"2024-11-20","Hyderabad","Mobile","online data analytic","2024-11-20"
"A1549","Data Analytics Course",163.0,3340.0,217.35,26.0,7.0,"0.043",1751.0,"24-11-2024","Hyderabad","TABLET","data anaytics training","2024-11-24"
"A1550","Data Analytics Course",84.0,4407.0,192.52,19.0,10.0,"0.119",1221.0,"2024-11-03","Hyderabad","Tablet","learn data analytics","2024-11-03"
"A1551","Data Analytics Course",124.0,3180.0,180.8,17.0,6.0,"0.048",1822.0,"2024-11-11","Hyderabad","MOBILE","online data analytic","2024-11-11"
"A1552","Data Analytics Course",162.0,4947.0,233.76,23.0,6.0,"0.045",1973.0,"2024/11/15","Hyderabad","TABLET","data analytics course","2024-11-15"
"A1553","Data Analytics Course",119.0,4480.0,184.25,20.0,3.0,"0.025",1985.0,"22-11-2024","Hyderabad","Mobile","online data analytic","2024-11-22"
"A1554","Data Analytics Course",151.0,5595.0,246.66,24.0,4.0,"0.026",1921.0,"2024-11-29","Hyderabad","Desktop","learn data analytics","2024-11-29"
"A1555","Data Analytics Course",190.0,4808.0,199.94,16.0,6.0,"0.032",1454.0,"2024/11/03","Hyderabad","DESKTOP","data analitics online","2024-11-03"
"A1556","Data Analytics Course",138.0,3382.0,204.12,27.0,7.0,"0.051",1386.0,"05-11-2024","Hyderabad","TABLET","learn data analytics","2024-11-05"
"A1557","Data Analytics Course",100.0,4643.0,214.46,16.0,9.0,"0.09",1179.0,"2024/11/03","Hyderabad","tablet","online data analytic","2024-11-03"
"A1558","Data Analytics Course",187.0,5400.0,210.0,14.0,7.0,"0.037",1945.0,"2024-11-15","Hyderabad","desktop","analytics for data","2024-11-15"
"A1559","Data Analytics Course",176.0,3400.0,191.5,29.0,3.0,"0.017",1429.0,"28-11-2024","Hyderabad","mobile","online data analytic","2024-11-28"
"A1560","Data Analytics Course",117.0,4223.0,0.0,28.0,6.0,"0.059",1489.0,"2024/11/10","Hyderabad","mobile","data anaytics training","2024-11-10"
"A1562","Data Analytics Course",155.0,3864.0,222.17,12.0,3.0,"0.019",1407.0,"2024-11-21","Hyderabad","mobile","data anaytics training","2024-11-21"
"A1563","Data Analytics Course",188.0,3838.0,240.99,15.0,3.0,"0.016",1951.0,"10-11-2024","Hyderabad","mobile","data analytics course","2024-11-10"
"A1564","Data Analytics Course",81.0,5659.0,222.98,25.0,4.0,"0.057",1654.0,"2024-11-19","Hyderabad","TABLET","data analitics online","2024-11-19"
"A1565","Data Analytics Course",125.0,4794.0,0.0,28.0,7.0,"0.051",1453.0,"2024-11-22","Hyderabad","DESKTOP","data analitics online","2024-11-22"
"A1566","Data Analytics Course",158.0,5214.0,222.28,21.0,3.0,"0.019",1630.0,"03-11-2024","Hyderabad","DESKTOP","data analytics course","2024-11-03"
"A1567","Data Analytics Course",133.0,5762.0,196.02,10.0,5.0,"0.038",0.0,"2024/11/03","Hyderabad","TABLET","data analytics course","2024-11-03"
"A1568","Data Analytics Course",128.0,5026.0,239.88,15.0,9.0,"0.07",1745.0,"2024/11/25","Hyderabad","Mobile","analytics for data","2024-11-25"
"A1569","Data Analytics Course",148.0,3883.0,181.4,30.0,4.0,"0.027",1966.0,"2024-11-16","Hyderabad","DESKTOP","analytics for data","2024-11-16"
"A1570","Data Analytics Course",92.0,4605.0,234.69,29.0,3.0,"0.033",1264.0,"2024-11-30","Hyderabad","mobile","data anaytics training","2024-11-30"
"A1572","Data Analytics Course",136.0,5454.0,247.7,13.0,6.0,"0.044",1687.0,"2024/11/06","Hyderabad","mobile","data analitics online","2024-11-06"
"A1573","Data Analytics Course",132.0,4957.0,220.43,28.0,6.0,"0.045",1218.0,"03-11-2024","Hyderabad","mobile","online data analytic","2024-11-03"
"A1575","Data Analytics Course",85.0,4747.0,224.35,26.0,5.0,"0.059",1087.0,"01-11-2024","Hyderabad","Tablet","data analytics course","2024-11-01"
"A1576","Data Analytics Course",129.0,5874.0,200.17,12.0,5.0,"0.039",1405.0,"2024-11-29","Hyderabad","Tablet","online data analytic","2024-11-29"
"A1577","Data Analytics Course",181.0,4730.0,243.35,16.0,4.0,"0.022",1975.0,"2024/11/20","Hyderabad","mobile","online data analytic","2024-11-20"
"A1578","Data Analytics Course",85.0,5341.0,249.64,21.0,6.0,"0.032",1388.0,"2024/11/10","Hyderabad","Mobile","online data analytic","2024-11-10"
"A1579","Data Analytics Course",92.0,4327.0,188.6,14.0,7.0,"0.076",1140.0,"2024-11-22","Hyderabad","Tablet","data anaytics training","2024-11-22"
"A1581","Data Analytics Course",146.0,4484.0,194.67,27.0,9.0,"0.052",1234.0,"2024-11-02","Hyderabad","tablet","data anaytics training","2024-11-02"
"A1582","Data Analytics Course",178.0,4311.0,205.46,18.0,4.0,"0.022",1671.0,"2024-11-18","Hyderabad","Tablet","analytics for data","2024-11-18"
"A1583","Data Analytics Course",197.0,3009.0,233.44,22.0,9.0,"0.046",1374.0,"18-11-2024","Hyderabad","tablet","analytics for data","2024-11-18"
"A1584","Data Analytics Course",176.0,3110.0,205.23,23.0,5.0,"0.028",1746.0,"2024-11-19","Hyderabad","DESKTOP","online data analytic","2024-11-19"
"A1585","Data Analytics Course",98.0,3365.0,224.28,27.0,9.0,"0.092",1108.0,"27-11-2024","Hyderabad","Desktop","data anaytics training","2024-11-27"
"A1586","Data Analytics Course",105.0,3274.0,187.89,24.0,4.0,"0.038",1360.0,"2024/11/09","Hyderabad","DESKTOP","learn data analytics","2024-11-09"
"A1587","Data Analytics Course",113.0,3231.0,210.13,19.0,10.0,"0.041",1234.0,"2024/11/15","Hyderabad","desktop","online data analytic","2024-11-15"
"A1589","Data Analytics Course",88.0,5196.0,197.32,26.0,5.0,"0.057",1438.0,"2024/11/03","Hyderabad","DESKTOP","online data analytic","2024-11-03"
"A1590","Data Analytics Course",106.0,5321.0,239.76,11.0,7.0,"0.066",1910.0,"24-11-2024","Hyderabad","Desktop","data anaytics training","2024-11-24"
"A1591","Data Analytics Course",148.0,5841.0,243.09,15.0,7.0,"0.047",1535.0,"29-11-2024","Hyderabad","mobile","data analitics online","2024-11-29"
"A1593","Data Analytics Course",196.0,5776.0,227.24,30.0,4.0,"0.02",0.0,"04-11-2024","Hyderabad","mobile","data anaytics training","2024-11-04"
"A1594","Data Analytics Course",128.0,4729.0,243.45,25.0,9.0,"0.031",1782.0,"2024-11-23","Hyderabad","desktop","learn data analytics","2024-11-23"
"A1595","Data Analytics Course",163.0,5371.0,215.89,29.0,7.0,"0.043",1906.0,"2024-11-05","Hyderabad","TABLET","data analytics course","2024-11-05"
"A1596","Data Analytics Course",183.0,5268.0,203.65,17.0,5.0,"0.027",1731.0,"2024-11-12","Hyderabad","Mobile","learn data analytics","2024-11-12"
"A1597","Data Analytics Course",196.0,5386.0,224.31,23.0,4.0,"0.02",1423.0,"2024/11/30","Hyderabad","tablet","learn data analytics","2024-11-30"
"A1598","Data Analytics Course",121.0,4432.0,218.71,25.0,10.0,"0.083",1568.0,"2024/11/13","Hyderabad","desktop","analytics for data","2024-11-13"
"A1599","Data Analytics Course",174.0,3031.0,242.32,25.0,6.0,"0.034",1381.0,"2024-11-08","Hyderabad","MOBILE","online data analytic","2024-11-08"
"A1601","Data Analytics Course",118.0,3274.0,222.62,10.0,3.0,"0.025",1716.0,"09-11-2024","Hyderabad","TABLET","analytics for data","2024-11-09"
"A1602","Data Analytics Course",118.0,5889.0,193.01,17.0,10.0,"0.085",1789.0,"2024-11-10","Hyderabad","DESKTOP","online data analytic","2024-11-10"
"A1603","Data Analytics Course",149.0,5601.0,222.01,15.0,6.0,"0.04",1514.0,"25-11-2024","Hyderabad","Desktop","analytics for data","2024-11-25"
"A1604","Data Analytics Course",127.0,4295.0,212.6,26.0,10.0,"0.079",1713.0,"19-11-2024","Hyderabad","Tablet","data analytics course","2024-11-19"
"A1605","Data Analytics Course",195.0,5135.0,226.37,17.0,3.0,"0.015",0.0,"2024/11/24","Hyderabad","desktop","data anaytics training","2024-11-24"
"A1606","Data Analytics Course",173.0,5233.0,229.38,28.0,7.0,"0.04",1322.0,"2024-11-16","Hyderabad","MOBILE","learn data analytics","2024-11-16"
"A1607","Data Analytics Course",131.0,5727.0,218.65,28.0,4.0,"0.031",1631.0,"2024/11/07","Hyderabad","Mobile","data anaytics training","2024-11-07"
"A1608","Data Analytics Course",105.0,4691.0,213.15,21.0,3.0,"0.035",1276.0,"2024-11-22","Hyderabad","desktop","analytics for data","2024-11-22"
"A1609","Data Analytics Course",104.0,3409.0,207.63,19.0,4.0,"0.038",1195.0,"2024/11/16","Hyderabad","Mobile","analytics for data","2024-11-16"
"A1610","Data Analytics Course",139.0,4333.0,230.05,19.0,6.0,"0.043",1407.0,"21-11-2024","Hyderabad","DESKTOP","analytics for data","2024-11-21"
"A1611","Data Analytics Course",110.0,4430.0,197.84,23.0,5.0,"0.045",0.0,"2024-11-15","Hyderabad","Mobile","learn data analytics","2024-11-15"
"A1612","Data Analytics Course",193.0,4860.0,181.27,14.0,5.0,"0.026",0.0,"2024-11-16","Hyderabad","desktop","online data analytic","2024-11-16"
"A1613","Data Analytics Course",109.0,4396.0,188.6,11.0,10.0,"0.092",1451.0,"18-11-2024","Hyderabad","Mobile","data anaytics training","2024-11-18"
"A1614","Data Analytics Course",141.0,5000.0,223.7,29.0,10.0,"0.071",1909.0,"2024-11-12","Hyderabad","TABLET","data analitics online","2024-11-12"
"A1615","Data Analytics Course",182.0,3487.0,211.71,23.0,7.0,"0.038",1027.0,"2024/11/24","Hyderabad","MOBILE","data analitics online","2024-11-24"
